"","refshort","patch_type","diversity_index","q_order","diversity_value","sd","n_pairs","habitat_amount","number_patches"
"205","Gibb_2002","continuous","alpha","q = 0",10.2994331538415,0.94719494443226,2,74.8572,17.5
"206","Gibb_2002","continuous","alpha","q = 2",5.52820069339129,1.35943223811267,2,74.8572,17.5
"207","Gibb_2002","continuous","gamma","q = 0",24.6763321635001,2.06267726006488,2,74.8572,17.5
"208","Gibb_2002","continuous","gamma","q = 2",9.3780391091079,3.21912586536529,2,74.8572,17.5
"209","Gibb_2002","continuous","beta","q = 0",2.39589225881778,0.305592412292429,2,74.8572,17.5
"210","Gibb_2002","continuous","beta","q = 2",1.69639990102366,0.684736002596801,2,74.8572,17.5
"211","Gibb_2002","fragmented","alpha","q = 0",7.3548642608625,1.96979424892642,8,10.5883,42
"212","Gibb_2002","fragmented","alpha","q = 2",3.59479167052498,1.52688514622207,8,10.5883,42
"213","Gibb_2002","fragmented","gamma","q = 0",16.2291952308371,3.21343608275944,8,10.5883,42
"214","Gibb_2002","fragmented","gamma","q = 2",4.35503142360674,2.03817431216386,8,10.5883,42
"215","Gibb_2002","fragmented","beta","q = 0",2.2065934400989,0.674755867939062,8,10.5883,42
"216","Gibb_2002","fragmented","beta","q = 2",1.2114836749276,0.3101013612542,8,10.5883,42
"217","Goodman_2000","continuous","alpha","q = 0",3.16322778006155,0.161613488337924,2,61.1773,27
"218","Goodman_2000","continuous","alpha","q = 2",2.49927942685332,0.0594396790778055,2,61.1773,27
"219","Goodman_2000","continuous","gamma","q = 0",5.16392716786917,0.0678658137789965,2,61.1773,27
"220","Goodman_2000","continuous","gamma","q = 2",3.19746542961525,0.00877116102956911,2,61.1773,27
"221","Goodman_2000","continuous","beta","q = 0",1.63248666454513,0.0224328751669274,2,61.1773,27
"222","Goodman_2000","continuous","beta","q = 2",1.27935491936609,0.00357771041995574,2,61.1773,27
"223","Goodman_2000","fragmented","alpha","q = 0",2.61008802214298,0.563744650025292,4,17.77455,75
"224","Goodman_2000","fragmented","alpha","q = 2",2.02111645728541,0.29735418174243,4,17.77455,75
"225","Goodman_2000","fragmented","gamma","q = 0",4.13313560606779,0.792125490956027,4,17.77455,75
"226","Goodman_2000","fragmented","gamma","q = 2",2.34202741404404,0.138987338224353,4,17.77455,75
"227","Goodman_2000","fragmented","beta","q = 0",1.58352345629874,0.185121205468223,4,17.77455,75
"228","Goodman_2000","fragmented","beta","q = 2",1.1587790528358,0.111979760328028,4,17.77455,75
"229","Lima_1999_a","continuous","alpha","q = 0",3.91666519526942,0.236512181559401,3,93.79085,7.5
"230","Lima_1999_a","continuous","alpha","q = 2",2.88938183942439,0.594941516876706,3,93.79085,7.5
"231","Lima_1999_a","continuous","gamma","q = 0",5.87727488817967,0.329849874094404,3,93.79085,7.5
"232","Lima_1999_a","continuous","gamma","q = 2",3.02335143723301,0.229155683314128,3,93.79085,7.5
"233","Lima_1999_a","continuous","beta","q = 0",1.50058138624621,0.0818630085589315,3,93.79085,7.5
"234","Lima_1999_a","continuous","beta","q = 2",1.04636617977613,0.0851310823307156,3,93.79085,7.5
"235","Lima_1999_a","fragmented","alpha","q = 0",4.22327874747473,0.530723550183388,3,98.97095,1
"236","Lima_1999_a","fragmented","alpha","q = 2",2.72512627081753,0.572627486017849,3,98.97095,1
"237","Lima_1999_a","fragmented","gamma","q = 0",6.27634839719887,0.455924813912249,3,98.97095,1
"238","Lima_1999_a","fragmented","gamma","q = 2",2.92305839784759,0.756671228252296,3,98.97095,1
"239","Lima_1999_a","fragmented","beta","q = 0",1.48613169352171,0.151088443721152,3,98.97095,1
"240","Lima_1999_a","fragmented","beta","q = 2",1.07263227731854,0.166189868621792,3,98.97095,1
"241","Lima_1999_b","continuous","alpha","q = 0",3.41378809528964,0.458804748530994,3,89.1784,15.5
"242","Lima_1999_b","continuous","alpha","q = 2",2.94325014675397,0.352453972822988,3,89.1784,15.5
"243","Lima_1999_b","continuous","gamma","q = 0",7.63490820760008,1.49049188826451,3,89.1784,15.5
"244","Lima_1999_b","continuous","gamma","q = 2",5.17528363659189,1.57583311050105,3,89.1784,15.5
"245","Lima_1999_b","continuous","beta","q = 0",2.23649154384678,0.331765063343426,3,89.1784,15.5
"246","Lima_1999_b","continuous","beta","q = 2",1.75835670722707,0.547567841574344,3,89.1784,15.5
"247","Lima_1999_b","fragmented","alpha","q = 0",3.43975656341385,0.725913053650988,3,97.56705,5
"248","Lima_1999_b","fragmented","alpha","q = 2",2.88088928058061,0.537527814239126,3,97.56705,5
"249","Lima_1999_b","fragmented","gamma","q = 0",9.05779715532659,0.527041847048534,3,97.56705,5
"250","Lima_1999_b","fragmented","gamma","q = 2",5.54558668050901,0.22254811275673,3,97.56705,5
"251","Lima_1999_b","fragmented","beta","q = 0",2.63326691535898,1.01574433993862,3,97.56705,5
"252","Lima_1999_b","fragmented","beta","q = 2",1.92495654653946,0.611485637560852,3,97.56705,5
"253","Magnago_2015","continuous","alpha","q = 0",5.56108933413068,0.328809605381839,49,99.66245,1.5
"254","Magnago_2015","continuous","alpha","q = 2",5.22168489409611,0.521397035506648,49,99.66245,1.5
"255","Magnago_2015","continuous","gamma","q = 0",18.8157634297139,1.30271222828142,49,99.66245,1.5
"256","Magnago_2015","continuous","gamma","q = 2",15.7665189333234,2.22638676346461,49,99.66245,1.5
"257","Magnago_2015","continuous","beta","q = 0",3.38346721284153,0.231646759690805,49,99.66245,1.5
"258","Magnago_2015","continuous","beta","q = 2",3.01943132400612,0.401162466696046,49,99.66245,1.5
"259","Magnago_2015","fragmented","alpha","q = 0",5.40817781116299,0.666236828761818,78,55.2041,58
"260","Magnago_2015","fragmented","alpha","q = 2",5.0315014123993,1.00195244510947,78,55.2041,58
"261","Magnago_2015","fragmented","gamma","q = 0",18.2849638335949,3.00149943028326,78,55.2041,58
"262","Magnago_2015","fragmented","gamma","q = 2",14.9901073146572,4.60590547207114,78,55.2041,58
"263","Magnago_2015","fragmented","beta","q = 0",3.38098421909372,0.411500429476194,78,55.2041,58
"264","Magnago_2015","fragmented","beta","q = 2",2.97925133792401,0.699520023392297,78,55.2041,58
"265","Montgomery_2014","continuous","alpha","q = 0",8.97438661512492,0.292862055178192,2,99.9444,1
"266","Montgomery_2014","continuous","alpha","q = 2",4.78046153196958,0.746348501365133,2,99.9444,1
"267","Montgomery_2014","continuous","gamma","q = 0",24.8022449225899,0.119303963301424,2,99.9444,1
"268","Montgomery_2014","continuous","gamma","q = 2",6.98924291270538,2.03226013887526,2,99.9444,1
"269","Montgomery_2014","continuous","beta","q = 0",2.76367020792146,0.134127872264215,2,99.9444,1
"270","Montgomery_2014","continuous","beta","q = 2",1.46204354244134,0.141710468566917,2,99.9444,1
"271","Montgomery_2014","fragmented","alpha","q = 0",7.36225741946217,1.41557682799767,10,88.7071,6
"272","Montgomery_2014","fragmented","alpha","q = 2",4.42350142904244,1.42994071951483,10,88.7071,6
"273","Montgomery_2014","fragmented","gamma","q = 0",18.9041463254925,3.82274129379475,10,88.7071,6
"274","Montgomery_2014","fragmented","gamma","q = 2",6.86136680875016,2.05774477437111,10,88.7071,6
"275","Montgomery_2014","fragmented","beta","q = 0",2.56771058772263,0.472515528349257,10,88.7071,6
"276","Montgomery_2014","fragmented","beta","q = 2",1.55111667054111,0.985823160361683,10,88.7071,6
"277","Nemesio_2010","continuous","alpha","q = 0",5.51814718925977,1.0261305614008,2,56.1833,52
"278","Nemesio_2010","continuous","alpha","q = 2",3.53436021348032,1.501683286577,2,56.1833,52
"279","Nemesio_2010","continuous","gamma","q = 0",7.89039568058777,0.155003915007446,2,56.1833,52
"280","Nemesio_2010","continuous","gamma","q = 2",3.61199442060895,1.03974761494291,2,56.1833,52
"281","Nemesio_2010","continuous","beta","q = 0",1.42989945899689,0.104242008161519,2,56.1833,52
"282","Nemesio_2010","continuous","beta","q = 2",1.02196556164041,0.137936327470292,2,56.1833,52
"283","Nemesio_2010","fragmented","alpha","q = 0",4.85498675800529,0.850824564948699,6,21.4249,52
